date,temperature,uncertainty
1897-01-01,1.3312e+01,1.61e-01
1897-02-01,1.3555e+01,1.45e-01
1897-03-01,1.4152e+01,1.55e-01
1897-04-01,1.5217e+01,1.43e-01
1897-05-01,1.6020e+01,1.45e-01
1897-06-01,1.6505e+01,1.55e-01
1897-07-01,1.6783e+01,1.61e-01
1897-08-01,1.6676e+01,1.61e-01
1897-09-01,1.6068e+01,1.33e-01
1897-10-01,1.5168e+01,1.35e-01
1897-11-01,1.4047e+01,1.53e-01
1897-12-01,1.3401e+01,1.45e-01
1898-01-01,1.3396e+01,1.49e-01
1898-02-01,1.3364e+01,1.49e-01
1898-03-01,1.3749e+01,1.43e-01
1898-04-01,1.4868e+01,1.55e-01
1898-05-01,1.5621e+01,1.44e-01
1898-06-01,1.6393e+01,1.64e-01
1898-07-01,1.6627e+01,1.54e-01
1898-08-01,1.6512e+01,1.61e-01
1898-09-01,1.5914e+01,1.49e-01
1898-10-01,1.4915e+01,1.31e-01
1898-11-01,1.3933e+01,1.39e-01
1898-12-01,1.3351e+01,1.44e-01
1899-01-01,1.3306e+01,1.47e-01
1899-02-01,1.3399e+01,1.67e-01
1899-03-01,1.4003e+01,1.43e-01
1899-04-01,1.5026e+01,1.53e-01
1899-05-01,1.5836e+01,1.43e-01
1899-06-01,1.6243e+01,1.41e-01
1899-07-01,1.6689e+01,1.50e-01
1899-08-01,1.6746e+01,1.57e-01
1899-09-01,1.6178e+01,1.38e-01
1899-10-01,1.5287e+01,1.34e-01
1899-11-01,1.4455e+01,1.44e-01
1899-12-01,1.3412e+01,1.53e-01
1900-01-01,1.3142e+01,1.42e-01
1900-02-01,1.3777e+01,1.73e-01
1900-03-01,1.4400e+01,1.41e-01
1900-04-01,1.5170e+01,1.51e-01
1900-05-01,1.5955e+01,1.59e-01
1900-06-01,1.6515e+01,1.47e-01
1900-07-01,1.6785e+01,1.54e-01
1900-08-01,1.6699e+01,1.59e-01
1900-09-01,1.6124e+01,1.47e-01
1900-10-01,1.5373e+01,1.40e-01
1900-11-01,1.4189e+01,1.37e-01
1900-12-01,1.3598e+01,1.53e-01
1901-01-01,1.3290e+01,1.41e-01
1901-02-01,1.3660e+01,1.63e-01
1901-03-01,1.4383e+01,1.38e-01
1901-04-01,1.5220e+01,1.51e-01
1901-05-01,1.5936e+01,1.54e-01
1901-06-01,1.6441e+01,1.45e-01
1901-07-01,1.6718e+01,1.58e-01
1901-08-01,1.6663e+01,1.48e-01
1901-09-01,1.6001e+01,1.40e-01
1901-10-01,1.5087e+01,1.38e-01
1901-11-01,1.4101e+01,1.37e-01
1901-12-01,1.3380e+01,1.36e-01
1902-01-01,1.3302e+01,1.30e-01
1902-02-01,1.3691e+01,1.48e-01
1902-03-01,1.4100e+01,1.27e-01
1902-04-01,1.4958e+01,1.41e-01
1902-05-01,1.5719e+01,1.45e-01
1902-06-01,1.6284e+01,1.29e-01
1902-07-01,1.6690e+01,1.45e-01
1902-08-01,1.6591e+01,1.44e-01
1902-09-01,1.6032e+01,1.34e-01
1902-10-01,1.4991e+01,1.21e-01
